Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Clay City Elementary School- Clay City CUSD 10,Clay City CUSD 10,1.20E+14,1.20E+14,1.71E+11,12,School,Clay City Elementary School,Clay City,Clay,UNIT,SMALL,ELEMENTARY,PK - 5,,Comprehensive,142,95.8,,,,,,,27.5,26.1,,64.1,18.3,,92.8,8,12,13.2,,,17.7,4.2,,,,,77.4,,,3,,,12,1,1,1,20,2,46,3,29,2,94.1,65.4,7,51,4,51,33.1,31.7,8,23,36.4,,,24.8,16,37,,,19,18,,4430,Elementary,4427,12,6,2023,CSI/NA,Southeast,2053,94.1,65.4,34,26,29,1,1,28,1,1,11,26,33,32,1,1,1,2,1,1,7,1,1,,72,,50,51,,,27,,41,35,,3,26,,,49,44,12,1,20,46,29,1,-4
North Clay Community High School- North Clay CUSD 25,North Clay CUSD 25,1.20E+14,,1.73E+11,12,School,North Clay Community High School,Louisville,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,175,94.9,,,,,,,14.9,10.9,,44,,,90.7,15.3,30,16.3,8.6,77.1,16.8,5,,,,,82.1,,,1,,,48,3,44,3,46,3,33,2,44,3,78.7,88.2,7,42,2,42,,,23,42,54.8,36,100,27.2,10,12,,,10,2,,,,,,,,,,3553,78.7,88.2,178,17,78,2,41,28,31,39,72,64,45,66,55,25,68,66,92,30,53,56,55,29,30,15,55,28,1,64,53,42,38,28,35,11,29,54,32,59,41,48,44,46,33,44,2,-1
North Clay Elem/Jr High Sch- North Clay CUSD 25,North Clay CUSD 25,1.20E+14,,1.73E+11,12,School,North Clay Elem/Jr High Sch,Louisville,Clay,UNIT,MEDIUM,ELEMENTARY,PK - 8,,Commendable,398,92.7,,4.3,,,,,20.1,18.3,,50.3,6.3,0,93.4,10.6,38,11.8,,,19,5,,,,,90.5,,,3,,,35,2,29,2,39,2,50,3,46,3,98.9,89.4,57,222,29,222,53.3,54,33,72,45.8,,,21.9,4,7,,,2,5,,,,,,,,,,3554,98.9,89.4,187,47,54,7,29,29,1,22,40,30,46,55,19,4,44,11,42,41,49,45,28,,53,20,41,58,,69,63,45,46,50,29,40,52,51,,33,49,35,29,39,50,46,1,-3
Flora High School- Flora CUSD 35,Flora CUSD 35,1.20E+14,,1.72E+11,12,School,Flora High School,Flora,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,370,95.4,,,,,,,11.6,8.6,,47.3,13.5,,91.7,10.5,53,13.7,4.6,82.9,16.7,5,,,,,93.1,,,1,,,53,3,63,4,60,4,55,3,63,4,56,87.5,21,91,9,91,,,47,90,52.2,86,92.5,28.1,17,20,,,6,14,,,,,,,,,,2552,56,87.5,373,32,82,48,66,42,42,45,77,75,51,85,77,45,68,58,99,55,48,54,62,40,99,74,99,62,48,81,58,61,77,73,50,52,39,70,56,88,84,53,63,60,55,63,5,3
Floyd Henson Jr High Sch- Flora CUSD 35,Flora CUSD 35,1.20E+14,,1.72E+11,12,School,Floyd Henson Jr High Sch,Flora,Clay,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,Commendable,284,92.3,,,,,,,13,11.3,,54.2,15.1,96.6,92.4,7.1,33,11.1,,,21.6,5,,,,,98.1,,,1,,,64,4,52,3,24,2,39,2,52,3,95.8,93.9,177,282,96,281,58.6,53,34,88,38.6,,,24.3,17,23,1,,9,13,,,,,,,,,,2553,95.8,93.9,284,33,53,37,42,67,10,54,71,51,5,36,68,35,47,34,99,17,63,65,33,,41,27,32,50,,65,70,26,36,53,35,20,33,18,,33,46,64,52,24,39,52,2,-1
Flora Elementary School- Flora CUSD 35,Flora CUSD 35,1.20E+14,,1.72E+11,12,School,Flora Elementary School,Flora,Clay,UNIT,MEDIUM,ELEMENTARY,PK - 5,,Commendable,675,91,,4.4,,,,2.5,27.3,26.7,,55.9,13.6,,94.8,5.1,,,,,20.4,3,,,,,84.4,,,2,,,,0,,0,,0,76,4,71,4,88.2,45.8,132,293,88,293,49.3,41.6,50,114,43.9,,,10.1,,,,,,,,,,,,,,,,43655,88.2,45.8,204,72,,,,,,,,,,,,,,,,,,,,,85,,80,85,,,69,,86,58,,83,63,,,68,71,,,,76,71,4,2
Hutsonville High School- Hutsonville CUSD 1,Hutsonville CUSD 1,1.20E+14,,1.72E+11,12,School,Hutsonville High School,Hutsonville,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,,Commendable,92,90.2,,,,,,,22.8,20.7,,37,15.2,,90.3,13.5,11,11.8,,100,9.3,5,,,,,79.3,,,2,,,49,3,62,4,52,3,41,3,61,4,80.8,75,3,27,4,27,,,11,27,40.7,11,78.6,35.5,12,18,,,8,9,1,,,,,,,,,2868,80.8,75,99,12,66,32,80,27,62,48,61,74,43,67,90,1,60,92,80,40,58,46,62,30,12,16,61,54,8,71,49,33,54,49,6,30,36,60,39,45,59,49,62,52,41,61,4,2
Hutsonville Elementary and Jr High Sch- Hutsonville CUSD 1,Hutsonville CUSD 1,1.20E+14,,1.72E+11,12,School,Hutsonville Elementary and Jr High Sch,Hutsonville,Crawford,UNIT,SMALL,ELEMENTARY,PK - 8,,Commendable,205,93.7,,,,,,4.9,23.4,23.4,,53.2,10.7,0,92.6,9.5,11,6.4,,,15.3,5,,,,,81.1,,,3,,,33,2,26,2,35,2,45,3,53,3,91.9,57.9,32,121,30,121,45.2,50.9,23,35,65.7,,,23.3,9,19,,,11,7,1,,,,,,,,,2867,91.9,57.9,99,38,64,11,21,34,6,22,34,32,37,47,34,1,38,35,61,36,42,26,31,,45,23,58,66,,53,54,25,61,57,36,63,39,73,,26,36,33,26,35,45,53,1,-3
Robinson High School- Robinson CUSD 2,Robinson CUSD 2,1.20E+14,,1.73E+11,12,School,Robinson High School,Robinson,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,444,91.2,,2.3,,,,4.3,11.9,11.7,,40.8,7.2,,92,6.6,42,9.2,2.2,88.6,16.7,5,,,,,90.5,,,1,,,,0,,0,,0,,0,,0,0,44.4,32,125,19,125,,,69,123,56.1,98,83.1,28.7,5,6,,,5,1,Not Provided,,,,,,,,,4052,0,44.4,447,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Nuttall Middle School- Robinson CUSD 2,Robinson CUSD 2,1.20E+14,,1.73E+11,12,School,Nuttall Middle School,Robinson,Crawford,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,Commendable,328,93,,3.4,,,,,16.5,16.5,,43.3,3,17.8,92.1,10.3,20,5.9,,,13,5,,,,,95.8,,,1,,,67,4,55,3,37,2,65,4,63,4,87.1,91.4,187,313,78,313,69.8,53.6,80,113,70.8,,,32,18,32,,,11,19,2,,,,,,,,,4051,87.1,91.4,333,35,86,40,60,67,19,52,94,29,30,60,69,42,59,75,51,53,55,45,55,,73,64,59,71,,74,42,59,70,63,45,32,51,35,,71,66,67,55,37,65,63,4,2
Lincoln Elementary School- Robinson CUSD 2,Robinson CUSD 2,1.20E+14,,1.73E+11,12,School,Lincoln Elementary School,Robinson,Crawford,UNIT,MEDIUM,ELEMENTARY,3 - 5,,Commendable,331,91.8,,5.1,,,,,25.1,25.1,,46.2,6,,92.9,4.2,11,3.3,,,19.6,3,,,,,90.8,,,1,,,,0,,0,,0,54,3,37,2,94.8,41.9,81,327,60,327,43.1,41.8,70,118,59.8,,,23.6,1,1,,,,1,,,,,,,,,,4050,94.8,41.9,232,43,,,,,,,,,,,,,,,,,,,,,75,,57,44,,,35,,44,33,,31,41,,,62,55,,,,54,37,2,-1
Washington Elementary School- Robinson CUSD 2,Robinson CUSD 2,1.20E+14,1.20E+14,1.73E+11,12,School,Washington Elementary School,Robinson,Crawford,UNIT,MEDIUM,ELEMENTARY,PK - 2,,Comprehensive,401,88.8,,3.5,,,,5.7,23.9,23.9,,52.4,4.5,,91.7,7.1,,,,,22.1,3,,,,,90.1,,,1,,,,0,,0,,0,,0,,0,0,29.2,,,,,,,,,,,,31,,,,,,,,691,Elementary,687,12,6,2023,TComp,Southeast,4053,0,29.2,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Palestine High School- Palestine CUSD 3,Palestine CUSD 3,1.20E+14,,1.73E+11,12,School,Palestine High School,Palestine,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,,Commendable,96,97.9,,,,,,,21.9,16.7,,42.7,19.8,,88.9,15.9,,,,85.7,11.1,4.8,,,,,87.5,,,2,,,59,3,38,2,38,2,48,3,34,2,91.5,85.7,6,28,3,28,,,16,28,57.1,15,71.4,39,5,8,,,7,1,,,,,,,,,,3728,91.5,85.7,94,14,79,7,41,32,18,56,75,33,31,54,44,16,54,23,47,49,71,44,76,24,33,27,56,38,1,76,55,58,50,19,48,25,40,49,48,35,78,59,38,38,48,34,1,-3
Palestine Grade School- Palestine CUSD 3,Palestine CUSD 3,1.20E+14,,1.73E+11,12,School,Palestine Grade School,Palestine,Crawford,UNIT,SMALL,ELEMENTARY,PK - 8,,Commendable,234,97.9,,,,,,,22.2,17.9,,52.1,12.8,38.9,91.1,7.4,,,,,13.4,5,,,,,95.5,,,2,,,71,4,68,4,63,4,61,4,60,4,91.5,73.3,13,126,10,126,50.5,49.9,17,34,50,,,36.5,5,10,,,8,2,,,,,,,,,,3727,91.5,73.3,94,30,55,50,67,54,51,67,80,49,72,65,93,66,79,48,76,69,83,52,55,,82,43,52,72,,86,64,74,45,55,51,65,59,43,,46,58,71,68,63,61,60,5,5
Oblong High School- Oblong CUSD 4,Oblong CUSD 4,1.20E+14,,1.73E+11,12,School,Oblong High School,Oblong,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,170,92.4,,,,,,,12.4,12.4,,42.9,,,93.5,21.1,13,7.5,,80,10.1,3.5,,,,,81.4,,,3,,,,0,,0,,0,,0,,0,0,29.4,9,34,6,34,,,19,32,59.4,4,12.5,23.3,Not Provided,Not Provided,,,Not Provided,Not Provided,Not Provided,,,,,,,,,3641,0,29.4,170,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Oblong Elementary School- Oblong CUSD 4,Oblong CUSD 4,1.20E+14,,1.73E+11,12,School,Oblong Elementary School,Oblong,Crawford,UNIT,MEDIUM,ELEMENTARY,PK - 8,,Targeted,380,98.7,,,,,,,24.7,24.7,,53.4,5.8,0,93.8,8.3,,,,,13.7,5,,,,,85.6,,,3,,,52,3,30,2,33,2,,0,,0,40.8,67.7,51,225,23,225,45.1,50.5,51,85,60,,,19.8,12,13,,,13,,,,,,,,,,,3640,40.8,67.7,191,31,48,14,15,43,11,46,61,33,38,56,39,13,47,38,99,29,56,33,36,,,,,,,,,,,,,,,,,,,52,30,33,,,2,-2
Newton Comm High School- Jasper County CUD 1,Jasper County CUD 1,1.20E+14,,1.72E+11,12,School,Newton Comm High School,Newton,Jasper,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,378,96.8,,,,,,,8.2,8.2,,34.9,,,92.4,8.7,22,5.6,3.5,96.4,20.1,5,,,,,89.6,,,1,,,52,3,49,3,53,3,34,2,42,3,84.7,89.3,15,94,18,94,,,45,88,51.1,89,90.8,23.8,5,9,,,2,7,,,,,,,,,,2968,84.7,89.3,379,28,64,31,44,39,28,41,66,60,55,72,76,8,50,66,99,44,63,43,49,37,39,9,45,29,1,66,44,43,38,28,15,17,21,51,35,27,42,52,49,53,34,42,2,-1
Jasper Co Jr High- Jasper County CUD 1,Jasper County CUD 1,1.20E+14,,1.72E+11,12,School,Jasper Co Jr High,Newton,Jasper,UNIT,MEDIUM,MIDDLE SCHL,7 - 8,,Targeted,186,95.7,,,,,,,11.8,11.8,,36,,92.4,92.7,5.3,,,,,24.8,5,,,,,92,,,2,,,62,4,42,3,42,3,32,2,40,3,94.1,99.9,69,185,42,185,43.9,37.7,50,79,64.1,,,19,19,34,,,11,23,,,,,,,,,,2967,94.1,99.9,187,12,28,19,39,62,34,49,74,45,37,10,73,33,39,1,95,45,62,41,15,,35,1,32,51,,63,53,1,46,54,22,19,12,53,,26,33,62,42,42,32,40,3,0
Newton Elementary School- Jasper County CUD 1,Jasper County CUD 1,1.20E+14,,1.72E+11,12,School,Newton Elementary School,Newton,Jasper,UNIT,MEDIUM,ELEMENTARY,1 - 6,,Commendable,485,95.9,,,,,,,17.9,17.9,,43.9,2.9,,94.6,6.6,16,3.1,,,20.9,5,,,,,90,,,3,,,38,2,34,2,29,2,63,4,51,3,86,66,114,338,107,337,42.8,46.6,42,76,55.3,,,12.8,17,25,,,16,9,,,,,,,,,,2969,86,66,243,53,32,17,28,33,28,19,53,33,23,42,35,29,43,31,99,30,45,47,31,,60,93,80,51,,74,55,42,77,66,71,68,47,50,,75,66,38,34,29,63,51,2,-2
Ste Marie Elementary School- Jasper County CUD 1,Jasper County CUD 1,1.20E+14,,1.72E+11,12,School,Ste Marie Elementary School,Sainte Marie,Jasper,UNIT,MEDIUM,ELEMENTARY,PK - K,,,123,93.5,,,,,,,24.4,24.4,,37.4,,,91.4,,,,,,21.3,5,,,,,85.7,,,5,,,53,3,36,2,35,2,,0,,0,0,73.3,,,,,,,,,,,,31.4,,,,,,,,,,,,,,,,2970,0,73.3,0,15,,1,30,43,8,,58,34,42,,26,14,60,,61,30,58,64,37,,,,,,,,,,,,,,,,,,,53,36,35,,,2,-2
Red Hill Jr/Sr High School- Red Hill CUSD 10,Red Hill CUSD 10,1.21E+14,,1.72E+11,12,School,Red Hill Jr/Sr High School,Bridgeport,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,,Commendable,363,98.6,,,,,,,10.5,7.7,,47.7,5.8,38.8,90.7,9.4,35,9.2,,77.1,16.3,5,,,,,86.6,,,2,,,66,4,60,4,74,4,69,4,45,3,90.1,78.4,92,196,29,194,55.7,36,54,114,48.2,65,95.6,31.6,12,19,,,6,13,,,,,,,,,,3995,90.1,78.4,363,37,71,38,57,56,47,57,86,97,67,73,99,60,54,49,99,59,65,54,70,54,73,77,57,52,5,79,31,64,94,46,65,41,52,49,69,70,99,66,60,74,69,45,5,4
Bridgeport Grade School- Red Hill CUSD 10,Red Hill CUSD 10,1.21E+14,,1.72E+11,12,School,Bridgeport Grade School,Bridgeport,Lawrence,UNIT,MEDIUM,ELEMENTARY,PK - 3,,Commendable,363,94.8,,,,,,3,17.9,14.6,,52.6,5.2,,93.2,6.6,,,,,18.9,5,,,,,93.4,,,1,,,39,2,36,2,57,3,,0,,0,0,73.5,22,79,20,79,,,,,,,,19.5,,,,,,,,,,,,,,,,3994,0,73.5,0,34,70,11,34,51,19,28,60,67,60,36,51,26,45,42,76,43,18,39,40,,,,,,,,,,,,,,,,,,,39,36,57,,,2,-2
Sumner Attendance Center- Red Hill CUSD 10,Red Hill CUSD 10,1.21E+14,,1.72E+11,12,School,Sumner Attendance Center,Sumner,Lawrence,UNIT,MEDIUM,ELEMENTARY,4 - 6,,Commendable,196,95.9,,,,,,,15.3,10.2,,57.1,,,94.5,7.7,17,8.1,,,22.1,5,,,,,88.9,,,2,,,83,5,86,5,83,5,66,4,76,4,97.5,80,116,203,38,203,57.5,43.5,47,70,67.1,,,13.7,10,25,,,19,5,1,,,,,,,,,3996,97.5,80,196,20,62,55,85,64,99,88,99,74,77,93,99,48,90,97,99,98,82,99,44,,58,63,75,72,,77,64,73,69,70,40,62,66,30,,70,71,83,86,83,66,76,5,5
Lawrenceville High School- Lawrence County CUD 20,Lawrence County CUD 20,1.21E+14,,1.72E+11,12,School,Lawrenceville High School,Lawrenceville,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,299,92.6,,,,,,4,11.7,8.4,,54.5,,,89,15.3,39,12.4,9,66,16.9,3,,,,,89.6,,,2,,,17,1,24,2,24,2,36,2,42,3,78.8,55.6,11,49,4,49,,,26,51,51,70,88.6,41.9,24,53,,1,39,13,,,,,,,,,,3119,78.8,55.6,302,36,41,31,32,8,17,6,48,24,30,61,2,5,10,7,56,17,5,46,54,30,41,49,64,59,1,60,46,22,60,57,16,37,30,50,33,46,52,17,24,24,36,42,1,-4
Parkview Jr High School- Lawrence County CUD 20,Lawrence County CUD 20,1.21E+14,1.21E+14,1.72E+11,12,School,Parkview Jr High School,Lawrenceville,Lawrence,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,Comprehensive,227,90.7,,,,,,,16.7,10.1,,54.6,,0,90,11.7,37,15.4,,,20.5,5,,,,,83.7,,,4,,,49,3,38,2,15,1,27,2,56,3,87.3,58.3,57,227,22,226,40.2,37.5,44,79,55.7,,,37.8,2,4,,,1,3,,,,,,,,,,3121,87.3,58.3,229,24,21,19,43,53,22,31,44,26,10,14,39,39,32,25,63,10,69,57,20,,22,45,59,77,,51,41,1,51,80,1,22,11,44,,21,24,49,38,15,27,56,1,-3
Parkside Elementary School- Lawrence County CUD 20,Lawrence County CUD 20,1.21E+14,,1.72E+11,12,School,Parkside Elementary School,Lawrenceville,Lawrence,UNIT,MEDIUM,ELEMENTARY,PK - 5,,Commendable,497,88.5,3.2,3.2,,,,5,18.7,15.9,,66.4,,,92.1,11.5,17,4.1,,,18.6,1,,,,,93,,,1,,,27,2,12,1,19,1,53,3,45,3,90.9,83.6,67,240,54,240,41.6,43.5,49,79,62,,,31.6,2,2,,,1,1,,,,,,,,,,3120,90.9,83.6,154,55,54,1,3,34,1,10,39,29,26,31,29,11,15,44,49,2,26,11,1,,69,,50,42,,,49,,51,44,,33,39,,,58,52,27,12,19,53,45,1,-3
Richland County High School- Richland County CUSD 1,Richland County CUSD 1,1.21E+14,,1.71E+11,12,School,Richland County High School,Olney,Richland,UNIT,LARGE,HIGH SCHOOL,9 - 12,,Commendable,698,88.7,,4.7,,,,3.9,13.9,9.5,,41.5,4.9,,94,17.6,137,19,5.1,88.7,20.4,5,,,,,93,,,3,,,,,,,,,,,,,,90,42,145,28,145,,,55,139,40.4,157,92.9,20.6,87,148,,,89,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County Middle School- Richland County CUSD 1,Richland County CUSD 1,1.21E+14,,1.71E+11,12,School,Richland County Middle School,Olney,Richland,UNIT,LARGE,MIDDLE SCHL,6 - 8,,Commendable,466,92.3,,3.2,,,,3,19.3,15,,56.2,7.1,0,93.2,8.8,64,13.2,,,22.7,2.5,,,,,96.7,,,3,,,,,,,,,,,,,,92.1,188,459,161,458,50.2,50.6,85,159,53.5,,,19.3,59,113,,,53,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County Elementary School- Richland County CUSD 1,Richland County CUSD 1,1.21E+14,,1.71E+11,12,School,Richland County Elementary School,Olney,Richland,UNIT,LARGE,ELEMENTARY,PK - 5,,Commendable,1090,92.1,1,2.2,,,,4.2,12.8,11.6,,60.8,4.9,,94.8,11,70,8.6,,,25.5,3,,,,,89.7,,,3,,,,,,,,,,,,,,92,147,460,105,460,47.5,41.1,49,144,34,,,12.3,17,23,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlyle High School- Carlyle CUSD 1,Carlyle CUSD 1,1.30E+14,,1.71E+11,13,School,Carlyle High School,Carlyle,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,280,92.9,3.6,,,,,,20,16.8,,43.6,,,92.3,4.9,39,13.5,4,83.6,14.1,5,,,,,84,,,2,,,37,2,33,2,39,2,35,2,42,3,76.4,75.9,15,70,15,71,,,38,70,54.3,49,83.1,28,,,,,,,,,,,,,,,,1857,76.4,75.9,284,29,87,4,25,24,1,44,47,47,31,64,67,1,33,58,99,39,31,36,58,35,28,30,33,44,1,75,34,27,30,31,38,19,31,54,26,54,49,37,33,39,35,42,1,-4
Carlyle Junior High School- Carlyle CUSD 1,Carlyle CUSD 1,1.30E+14,,1.71E+11,13,School,Carlyle Junior High School,Carlyle,Clinton,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,Commendable,296,87.8,,,,,,5.7,19.3,16.6,,52,,0,93.1,8.2,11,3.5,,,16.4,5,,,,,87.7,,,3,,,25,2,17,1,12,1,37,2,57,3,85.5,54.5,121,292,56,290,56,50.2,84,137,61.3,,,22.1,35,75,,,71,4,,,,,,,,,,1858,85.5,54.5,296,22,65,3,11,43,1,8,19,23,3,15,28,1,7,14,10,11,31,36,35,,33,19,56,57,,71,72,5,51,85,39,20,26,45,,52,39,25,17,12,37,57,1,-4
Carlyle Elementary School- Carlyle CUSD 1,Carlyle CUSD 1,1.30E+14,,1.71E+11,13,School,Carlyle Elementary School,Carlyle,Clinton,UNIT,MEDIUM,ELEMENTARY,PK - 4,,Exemplary,395,90.9,,,,,,4.8,24.6,24.1,,48.6,3.5,,92.6,8.6,,,,,20.5,5,,,,,89.6,,,1,,,27,2,27,2,27,2,85,5,57,3,93.4,65.5,59,144,65,144,76.5,78.5,,,,,,25.8,7,7,,,6,1,,,,,,,,,,1856,93.4,65.5,76,29,61,31,7,42,14,4,41,20,43,33,44,33,12,39,15,17,19,41,44,,99,,99,56,,,53,,92,80,,66,62,,,99,87,27,27,27,85,57,2,-2
Wesclin Sr High School- Wesclin CUSD 3,Wesclin CUSD 3,1.30E+14,,1.74E+11,13,School,Wesclin Sr High School,Trenton,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,369,86.4,,8.4,,,,,13.8,13.8,3.3,36.6,3.5,,92.5,4.2,14,3.7,3.1,86.9,18.7,4.5,,,,,91.8,,,2,,,,0,,0,,0,58,3,36,2,81.8,47.2,33,95,31,95,,,65,91,71.4,60,77.9,22.3,31,63,,,38,25,Not Provided,,,,,,,,,4695,81.8,47.2,369,36,,,,,,,,,,,,,,,,,,,,,68,63,67,19,6,81,47,59,60,41,48,34,42,35,46,64,85,,,,58,36,2,-1
Trenton Elementary School- Wesclin CUSD 3,Wesclin CUSD 3,1.30E+14,,1.74E+11,13,School,Trenton Elementary School,Trenton,Clinton,UNIT,MEDIUM,ELEMENTARY,PK - 3,,Exemplary,247,83.8,,9.7,,,,5.3,24.3,22.3,,40.9,,,95.7,,,,,,22.1,5,,,,,97.3,,,1,,,53,3,57,3,49,3,,0,,0,0,76.5,16,42,24,42,,,,,,,,6.7,2,3,,,1,2,,,,,,,,,,4693,0,76.5,0,17,36,37,71,40,51,63,89,38,55,66,47,31,64,41,99,54,21,67,36,,,,,,,,,,,,,,,,,,,53,57,49,,,3,0
New Baden Elementary School- Wesclin CUSD 3,Wesclin CUSD 3,1.30E+14,,1.74E+11,13,School,New Baden Elementary School,New Baden,Clinton,UNIT,MEDIUM,ELEMENTARY,K - 3,,Commendable,248,82.7,,8.1,,,,6.5,23,21,5.2,42.7,4,,94.4,5.9,,,,,19.6,5,,,,,89.7,,,3,,,68,4,65,4,51,3,,0,,0,0,59.1,25,60,30,60,,,,,,,,12.2,7,11,,,8,3,,,,,,,,,,4690,0,59.1,0,22,67,54,50,42,57,76,77,62,52,33,71,51,65,50,99,39,78,84,72,,,,,,,,,,,,,,,,,,,68,65,51,,,4,2
Wesclin Middle School- Wesclin CUSD 3,Wesclin CUSD 3,1.30E+14,,1.74E+11,13,School,Wesclin Middle School,Trenton,Clinton,UNIT,MEDIUM,ELEMENTARY,4 - 8,,Commendable,473,85.8,,7.4,,,,4.4,19.2,15.9,3.6,26,4.4,23,94.1,4.4,11,2.3,,,18.5,5,,,,,96.5,,,2,,,61,4,47,3,44,3,65,4,71,4,90.7,54.5,227,466,176,466,47.6,55.2,108,181,59.7,,,19.1,55,108,,,88,20,,,,,,,,,,42475,90.7,54.5,473,44,50,20,42,44,12,59,59,37,36,61,54,21,55,57,99,60,83,66,41,,65,38,75,74,,77,82,22,78,72,46,49,42,43,,73,74,61,47,44,65,71,5,3
Breese Elementary School- Breese ESD 12,Breese ESD 12,1.30E+14,,1.71E+11,13,School,Breese Elementary School,Breese,Clinton,ELEMENTARY,MEDIUM,ELEMENTARY,2 - 8,,Exemplary,417,89.7,,8.6,,,,,12,9.8,4.3,32.4,3.4,0,95,4.7,,,,,19.5,5,,,,,94.3,,,2,,,37,2,37,2,34,2,39,2,50,3,95.3,58.3,201,364,126,364,58.4,57.3,74,127,60.2,,,10,60,123,,,105,18,,,,,,,,,,1767,95.3,58.3,321,24,87,1,41,40,50,18,52,29,44,52,43,13,55,43,23,30,37,46,44,,48,34,44,41,,76,57,34,29,58,10,34,43,13,,53,37,37,37,34,39,50,1,-4
Beckemeyer Elementary School- Breese ESD 12,Breese ESD 12,1.30E+14,,1.71E+11,13,School,Beckemeyer Elementary School,Beckemeyer,Clinton,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 1,,Commendable,185,84.9,,12.4,,,,,20,20,9.7,35.7,,,94.5,,,,,,19.6,5,,,,,92.9,,,2,,,46,3,44,3,54,3,,0,,0,0,81.8,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,1766,0,81.8,0,11,78,23,70,49,52,48,51,53,61,36,45,52,39,39,41,48,34,44,49,,,,,,,,,,,,,,,,,,,46,44,54,,,3,0
